name	url	tags	category	type	description
fcs_operator	https://github.com/tercen/fcs_operator			R	
neighbourhood_operator	https://github.com/tercen/neighbourhood_operator			R	
ttest_operator	https://github.com/tercen/ttest_operator	statistics, test	Statistical testing	R	
fgsea_operator	https://github.com/tercen/fgsea_operator	RNAseq, genomics	RNA sequencing	R	
lm_operator	https://github.com/tercen/lm_operator	statistics, linear model, test	Statistical testing	R	
somflow_operator	https://github.com/tercen/somflow_operator	flow cytometry	Flow Cytometry	R	
twogroupttest_operator	https://github.com/tercen/twogroupttest_operator	statistics, test	Statistical testing	R	
count_operator	https://github.com/tercen/count_operator	basic statistics	Basic statistics	R	
wordcount_operator	https://github.com/tercen/wordcount_operator	operation	Basic operations	R	
ratio_operator	https://github.com/tercen/ratio_operator	operation	Basic operations	R	
tsne_operator	https://github.com/tercen/tsne_operator	dimensionality reduction, flow cytometry, genomics	Dimensionality reduction and clustering	R	
flowsom_operator	https://github.com/tercen/flowsom_operator	flow cytometry	Flow Cytometry	R	
IQR_operator	https://github.com/tercen/IQR_operator	basic statistics	Basic statistics	R	
mean_operator	https://github.com/tercen/mean_operator	basic statistics	Basic statistics	R	
negative_operator	https://github.com/tercen/negative_operator	data transformation	Data transformation	R	
seqlen_operator	https://github.com/tercen/seqlen_operator	annotation	Basic operations	R	
pairwise_RMSD_operator	https://github.com/tercen/pairwise_RMSD_operator	distance, error	Pairwise distances	R	
mean_sd_operator	https://github.com/tercen/mean_sd_operator	basic statistics	Basic statistics	R	
template_docker_operator	https://github.com/tercen/template_docker_operator	template	Template	Docker	Template
atsne_docker_operator	https://github.com/tercen/atsne_docker_operator	dimensionality reduction, flow cytometry, genomics	Dimensionality reduction and clustering	Docker	
shiny_heatmap_operator	https://github.com/tercen/shiny_heatmap_operator	data visualisation	Data visualisation	Shiny	
scRNAseq_normalisation_operator	https://github.com/tercen/scRNAseq_normalisation_operator	scRNAseq	RNA sequencing	R	
scRNAseq_QC_operator	https://github.com/tercen/scRNAseq_QC_operator	scRNAseq	RNA sequencing	R	
fast_tSNE_operator	https://github.com/tercen/fast_tSNE_operator	dimensionality reduction, flow cytometry, genomics	Dimensionality reduction and clustering	R	
templateR_operator	https://github.com/tercen/templateR_operator	template	Template	R	Template
worldmap_shiny_docker_operator	https://github.com/tercen/worldmap_shiny_docker_operator	map, visualisation	Data visualisation	Docker	
mixed_model_operator	https://github.com/tercen/mixed_model_operator	statistics, linear model, test	Statistical testing	R	
venn_shiny_operator	https://github.com/tercen/venn_shiny_operator	overlap, visualisation	Data visualisation	Shiny	
shiny_boxplot_operator	https://github.com/tercen/shiny_boxplot_operator	distribution, visualisation	Data visualisation	Shiny	
cellplot_shiny_operator	https://github.com/tercen/cellplot_shiny_operator	genomics, clustering	Data visualisation	Shiny	
rfImp_operator	https://github.com/tercen/rfImp_operator			R	
flowsom_mst_shiny_operator	https://github.com/tercen/flowsom_mst_shiny_operator	flow cytometry, data visualisation	Flow Cytometry	R	
shiny_docker_operator	https://github.com/tercen/shiny_docker_operator	template	Template	Docker	Template
template_shiny_operator	https://github.com/tercen/template_shiny_operator	template	Template	Shiny	Template
clusterx2_operator	https://github.com/tercen/clusterx2_operator	clustering, dimensionality reduction	Dimensionality reduction and clustering	R	
scRNAseq_feature_selection_operator	https://github.com/tercen/scRNAseq_feature_selection_operator	scRNAseq	RNA sequencing	R	
DESeq2_two_conditions_operator	https://github.com/tercen/DESeq2_two_conditions_operator	scRNAseq	RNA sequencing	R	
fast_tSNE_docker_operator	https://github.com/tercen/fast_tSNE_docker_operator	dimensionality reduction, flow cytometry, genomics	Dimensionality reduction	R	
